GB2756386333762976,71640
GB7197158194781194,16602
GB4717308619277390,31757
GB0304988291440616,89237
GB5224163633126274,10776
GB5650078775258124,149715
GB1315157834855568,26426
GB8119709095675682,18045
GB6149338121095950,192435
GB0182732722917117,112516
GB8809110415665808,232426
GB9662932284459045,184368
GB5719645655856951,63705
GB9597861100187239,100451
GB2184991268041171,30813
GB4212752956367261,213091
GB8771359627523928,121333
GB4268182566770771,34982
GB9738851698776814,0
GB0328544884484414,200089
GB8266925246367199,2156
GB3471286257051555,177931
GB8748022764988848,310295
GB8948977779113560,135750
GB0707080800939528,6204
GB9983582633600975,35920
GB7663397362078710,0
GB1814650826673805,117309
GB4195026267049606,143133
GB2310904614340399,37688
GB2064237705781146,34167
GB5349995110778596,57938
GB1188794532579822,4040
GB0854102786031978,122704
GB4163808613482956,349601
GB3533259435695578,31146
GB8005255593236578,9585
GB8597910869982208,41725
GB1901067109826511,231941
GB5364263899963198,29190
GB6414102800103405,58221
GB5278645920790641,213526
GB1174925151257225,195533
GB3765568543844713,106075
GB2649974784891070,232524
GB1403698073762125,169929
GB8293622937154776,16337
GB5262678836642705,25510
GB3697919736709901,68152
GB6115584907478383,233967
GB0670449068315096,43006
GB4730345695104287,116175
GB7306922341153256,146055
GB2449474244500487,92742
GB9282784617945674,11951
GB4024460682534531,72316
GB8262667220073477,147125
GB8880191011288849,132553
GB4215274544574799,13315
GB7675391269940220,1092
GB4030680181902749,39483
GB8917664312946726,0
GB4818391919784121,55367
GB4444933865147298,3141
GB3128848774889227,0
GB3050132798723301,4760
GB8189124791557613,114043
GB5087517062127499,0
GB1831775630166975,18279
GB4248938360957536,108482
GB7732453334934928,69575
GB4935161703797604,23503
GB1103244415412299,33606
GB4480343662549027,5366
GB2416114875866381,0
GB0550054087794031,228974
GB0111846945873443,90911
GB1459324799824647,77576
GB9022353363025762,132054
GB0559760412408406,0
GB9047125998046791,51268
GB7905752321367865,110422
GB3782132010086517,65233
GB5088632141591960,57875
GB0318694183423174,219322
GB7784254369886498,3263
GB1252559744618407,174040
GB0344579021847901,231543
GB8353377001044340,55597
GB5978388770131756,96812
GB7947511134196741,233102
GB7225784399891068,88648
GB7542433895701480,0
GB3682348779487593,17692
GB7833517236850718,6639
GB2012618764282589,43823
GB4511022354401130,14293
GB3445405279576069,22623
GB2087655211844105,50913
GB0344456854119764,307818
